species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,External,All causes,457121587.656719,67740127.4620187,324350937.8311624,589892237.4822757,2019-01-01,29.06975,15724992.050386366,2330261.782850513,11157678.95599936,20292305.14477337
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Mortality,Non-infectious,All conditions,439657723.467392,64110661.4983872,314000826.9305531,565314620.004231,2019-01-01,29.06975,15124234.761819143,2205408.078789367,10801634.927391984,19446834.596246302
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,External,All causes,1913020536.29913,770740046.488775,402370045.1811309,3423671027.417129,2019-01-01,29.06975,65807945.933457635,26513473.507297967,13841537.859153619,117774354.00776164
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Production loss,Non-infectious,All conditions,2436478454.17518,953432463.668522,567750825.384877,4305206082.965483,2019-01-01,29.06975,83814909.11257166,32798096.429055016,19530640.111623835,148099178.1135195
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,External,All causes,479977663.740435,71127130.5027835,340568487.9549793,619386839.5258907,2020-01-01,34.9271654040404,13742244.988621688,2036441.5399869657,9750819.570247235,17733670.406996142
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Mortality,Non-infectious,All conditions,461640606.985086,67316193.3167393,329700868.084277,593580345.885895,2020-01-01,34.9271654040404,13217236.544815145,1927330.561699465,9439668.643884193,16994804.445746094
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Production loss,External,All causes,2008671563.11412,809277048.812501,422488547.4416182,3594854578.786622,2020-01-01,34.9271654040404,57510294.34761274,23170418.768620804,12096273.561115967,102924315.13410953
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2020,Production loss,Non-infectious,All conditions,2558302376.88396,1001104086.85099,596138366.6560192,4520466387.1119,2020-01-01,34.9271654040404,73246779.3274748,28662620.492391333,17068043.162387792,129425515.49256182
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2021,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2021,Mortality,External,All causes,503976543.62861,74683483.6962683,357596915.5839242,650356171.6732959,2021-01-01,43.73377831884,11523736.64023222,1707684.2332667958,8176675.543029302,14870797.73743514
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2021,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2021,Mortality,Non-infectious,All conditions,484722634.678884,70682001.7265012,346185911.29494166,623259358.0628264,2021-01-01,43.73377831884,11083484.055391371,1616187.8631019678,7915755.843711514,14251212.267071228
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2021,Production loss,External,All causes,2109105141.26985,849740901.252447,443612974.81505394,3774597307.724646,2021-01-01,43.73377831884,48225998.81248476,19429853.397468485,10143486.153446537,86308511.471523
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2021,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2021,Production loss,Non-infectious,All conditions,2686217495.72819,1051159291.19263,625945284.9906352,4746489706.465745,2021-01-01,43.73377831884,61422031.18478329,24035409.964562856,14312627.654240092,108531434.71532649
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2017,Mortality,External,All causes,266769486.36751,64292169.7977957,140756833.56383044,392782139.17118955,2017-01-01,23.8661044574125,11177755.751615964,2693869.454586561,5897771.620626306,16457739.882605623
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2017,Mortality,Non-infectious,All conditions,379676699.280506,58779485.3169075,264468908.0593673,494884490.50164473,2017-01-01,23.8661044574125,15908616.337367257,2462885.613435391,11081360.535033891,20735872.13970062
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2017,Production loss,External,All causes,2318772942.86678,464156050.069912,1409027084.7297523,3228518801.003807,2017-01-01,23.8661044574125,97157579.57082933,19448337.32284077,59038838.41806143,135276320.72359723
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2017,Production loss,Non-infectious,All conditions,4543562641.12847,668880457.003292,3232556945.4020185,5854568336.854922,2017-01-01,23.8661044574125,190377220.93424004,28026377.66866668,135445520.70365337,245308921.1648267
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2018,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2018,Mortality,External,All causes,280107959.916789,67506778.5281184,147794674.00167692,412421245.8319011,2018-01-01,27.4293865941667,10211965.876639707,2461111.4906402905,5388187.354984738,15035744.398294676
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2018,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2018,Mortality,Non-infectious,All conditions,398660532.867891,61718459.302238,277692352.63550454,519628713.1002775,2018-01-01,27.4293865941667,14534066.647800012,2250085.2904732265,10123899.47847249,18944233.817127537
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2018,Production loss,External,All causes,2434711590.01011,487363852.573315,1479478438.9664125,3389944741.0538073,2018-01-01,27.4293865941667,88762888.72343542,17767945.73586858,53937715.081133,123588062.36573783
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2018,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2018,Production loss,Non-infectious,All conditions,4770740773.18488,702324479.853189,3394184792.67263,6147296753.69713,2018-01-01,27.4293865941667,173928088.2861396,25604819.03020571,123742642.98693642,224113533.5853428
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2019,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2019,Mortality,External,All causes,294113357.17301,70882117.6857498,155184406.5089404,433042307.8370796,2019-01-01,29.06975,10117505.557254879,2438346.31139758,5338346.786915622,14896664.327594135
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
