species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,All conditions,2709498264.2277,475488515.759716,1777540773.338657,3641455755.1167436,2021-01-01,43.73377831884,61954360.413915575,10872340.191903362,40644573.63778499,83264147.19004616
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,allcause,alldisease,6718304711.06688,974532159.7540455,4808221677.948951,8628387744.184809,2021-01-01,43.73377831884,153618209.29550725,22283283.018659938,109942974.57893376,197293444.0120807
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Health cost,allcause,alldisease,15936395.966072898,184994.35458219892,15573807.031091789,16298984.901054008,2017-01-01,23.8661044574125,667741.8174595839,7751.342700787605,652549.1857660401,682934.4491531275
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,External,All causes,414622761.379281,61442298.6806383,294195855.9652299,535049666.79333204,2017-01-01,23.8661044574125,17372871.308727745,2574458.634012855,12326932.38606255,22418810.231392942
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,Infectious,All diseases,709999076.653625,71546285.9640416,569768356.1641035,850229797.1431465,2017-01-01,23.8661044574125,29749265.44550125,2997820.029310241,23873538.18805318,35624992.702949315
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,Non-infectious,All conditions,398782520.555214,58150262.2003805,284808006.6424682,512757034.46795976,2017-01-01,23.8661044574125,16709158.432907023,2436520.8953202157,11933577.478079401,21484739.387734648
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,allcause,alldisease,1523404156.0270822,12559.692607332168,1523379539.0295718,1523428773.0245926,2017-01-01,23.8661044574125,63831286.699741766,526.2565002907834,63830255.237001196,63832318.162482336
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,External,All causes,1735166019.31889,699083942.394874,364961492.2249372,3105370546.4128428,2017-01-01,23.8661044574125,72704199.48153584,29291916.64447558,15292042.858363712,130116356.10470796
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,Infectious,All diseases,2576306747.53916,989718747.3337,636458002.7651079,4516155492.313211,2017-01-01,23.8661044574125,107948356.30324213,41469639.46712746,26667862.947672315,189228849.65881193
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,Non-infectious,All conditions,2209957781.56473,864791350.268145,514966735.039166,3904948828.0902944,2017-01-01,23.8661044574125,92598177.70043933,36235128.01644309,21577326.788210884,163619028.6126678
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,allcause,alldisease,6598754141.908587,2403728926.987927,1887445445.012251,11310062838.804924,2017-01-01,23.8661044574125,276490625.17444485,100717271.69707246,79084772.64818285,473896477.7007069
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Health cost,allcause,alldisease,16733215.764376543,194244.0723113089,16352497.382646378,17113934.14610671,2018-01-01,27.4293865941667,610047.0277353971,7081.604674040287,596167.0825742781,623926.9728965161
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,External,All causes,435353896.148654,64514410.2809824,308905651.9979285,561802140.2993795,2018-01-01,27.4293865941667,15871805.760367932,2352017.9738435135,11261850.531634646,20481760.98910122
