species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Production loss,Non-infectious,-9343303.68168218,3845420.07507699,-9581640.90764788,-9104966.45571649
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Mortality,External,934960.315709631,149102.45884653,925719.019379884,944201.612039378
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,2513079.52774427,186219.88549243,2501537.71174982,2524621.34373872
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Mortality,Non-infectious,1288178.10922058,158579.86047564,1278349.40824594,1298006.81019521
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Production loss,External,-9418109.57729209,5865017.65829069,-9781620.4581908,-9054598.69639338
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,-20002031.8544073,12242790.6520332,-20760833.9371748,-19243229.7716398
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2017,Production loss,Non-infectious,-18819317.2327896,11572251.4335309,-19536559.6278978,-18102074.8376814
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Mortality,External,981708.331463573,156557.581733994,972004.970320738,991411.692606407
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Mortality,Infectious,2638733.50405888,195530.879715311,2626614.59726791,2650852.41084985
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Mortality,Non-infectious,1352587.01463425,166508.853399591,1342266.87861707,1362907.15065143
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Production loss,External,-9889015.05615672,6158268.54120462,-10270701.4811003,-9507328.63121312
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Production loss,Infectious,-21002133.4471277,12854930.1846336,-21798875.6340335,-20205391.260222
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2018,Production loss,Non-infectious,-19760283.0944291,12150864.0052062,-20513387.6092926,-19007178.5795656
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Mortality,External,1030793.74800671,164385.460768443,1020605.21880998,1040982.27720345
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,2770670.17919267,205307.4236518,2757945.32706521,2783395.03132014
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Mortality,Non-infectious,1420216.36532085,174834.295974495,1409380.22250871,1431052.508133
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Production loss,External,-10383465.8089646,6466181.96826427,-10784236.5551553,-9982695.06277383
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Production loss,Infectious,-22052240.1194842,13497676.693864,-22888819.4157352,-21215660.8232332
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2019,Production loss,Non-infectious,-20748297.2491506,12758407.2054654,-21539056.9897572,-19957537.508544
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Mortality,External,1082333.43537844,172604.733757104,1071635.47972495,1093031.39103193
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Mortality,Infectious,2909203.68808645,215572.794787461,2895842.59335552,2922564.78281738
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Mortality,Non-infectious,1491227.18354393,183576.010682671,1479849.23359679,1502605.13349108
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Production loss,External,-10902639.0994128,6789491.06667694,-11323448.3829131,-10481829.8159126
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Production loss,Infectious,-23154852.1254584,14172560.528556,-24033260.3865219,-22276443.8643949
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2020,Production loss,Non-infectious,-21785712.1116082,13396327.5657375,-22616009.8392451,-20955414.3839713
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Mortality,External,1136450.10712012,181234.970397567,1125217.25368689,1147682.96055334
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,3054663.87242806,226351.434482139,3040634.72296335,3068693.02189276
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,1565788.54268022,192754.811130567,1553841.69524107,1577735.39011937
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Production loss,External,-11447771.0543835,7128965.62001026,-11889620.8020587,-11005921.3067083
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,-24312594.7317314,14881188.5549827,-25234923.405848,-23390266.0576148
All Poultry,National,Small holder,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,-22874997.7171886,14066143.9440233,-23746810.3312073,-22003185.10317
All Poultry,National,Village,Adult,Adult,Overall,2017,Mortality,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2017,Mortality,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2017,Mortality,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2017,Production loss,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2017,Production loss,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2017,Production loss,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2018,Mortality,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2018,Mortality,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2018,Mortality,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2018,Production loss,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2018,Production loss,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2018,Production loss,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2019,Mortality,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2019,Mortality,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2019,Mortality,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2019,Production loss,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2019,Production loss,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2019,Production loss,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2020,Mortality,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2020,Mortality,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2020,Mortality,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2020,Production loss,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2020,Production loss,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2020,Production loss,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2021,Mortality,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2021,Mortality,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2021,Mortality,Non-infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2021,Production loss,External,,,,
All Poultry,National,Village,Adult,Adult,Overall,2021,Production loss,Infectious,,,,
All Poultry,National,Village,Adult,Adult,Overall,2021,Production loss,Non-infectious,,,,
All Poultry,National,Village,Chick,Chick,Overall,2017,Mortality,External,586317582.301887,81227882.0882719,581283118.521594,591352046.08218
All Poultry,National,Village,Chick,Chick,Overall,2017,Mortality,Infectious,977553813.913168,84043640.1776173,972344830.84528,982762796.981056
